method_id,name,families,pipeline_role,input_representation_ids,output_representation_ids,paper_ids,codebase_ids,record_path,verification_status,evidence_source,notes
DOUBLET_FLAG,Doublet suspicion scoring,quality_control,artifact flagging,RNA_counts,DOUBLET_FLAG,DOUBLET_FINDER_2019,not_applicable,02_omics/02_preprocessing_qc_statistics/20_DOUBLETS.md,conceptual_only,02_omics/02_preprocessing_qc_statistics/SOURCES.md#s46,No detector run.
AMBIENT_ESTIMATE,Ambient RNA estimation,quality_control,contamination assessment,RNA_counts,AMBIENT_FLAG,SOUPX_2020;DECONTX_2020,not_applicable,02_omics/02_preprocessing_qc_statistics/21_AMBIENT_CONTAMINATION.md,conceptual_only,02_omics/02_preprocessing_qc_statistics/SOURCES.md#s47,No correction run.
MATH_MINKOWSKI,Euclidean Manhattan and Minkowski distances,geometry,distance definition,not_applicable,not_applicable,MATH_VMLS_2018,not_applicable,05_methods/01_mathematical_foundations/04_DISTANCE.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Defined metrics and norm exponent domain; synthetic examples only.
MATH_COSINE_PEARSON,Cosine and Pearson profile similarity,similarity,similarity definition,not_applicable,not_applicable,MATH_VMLS_2018,not_applicable,05_methods/01_mathematical_foundations/05_SIMILARITY.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Zero-norm and constant-profile cases explicit; no real pairwise matrix.
MATH_COVARIANCE,Sample covariance and standardization,descriptive_statistics,moment definition,not_applicable,not_applicable,MATH_VMLS_2018;MATH_BLITZSTEIN_HWANG_2019,not_applicable,05_methods/01_mathematical_foundations/06_MEAN_VARIANCE_COVARIANCE.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Sample n-1 versus empirical n denominator distinguished.
MATH_MLE_BAYES,Likelihood MLE and Bayesian updating,probability,estimation foundations,not_applicable,not_applicable,MATH_CONVEX_2004;MATH_BLITZSTEIN_HWANG_2019,not_applicable,05_methods/01_mathematical_foundations/10_LIKELIHOOD.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Three Bernoulli outcomes only; no research likelihood fitted.
MATH_SVD_FOUNDATION,Full reduced and compact SVD,linear_algebra,decomposition foundation,not_applicable,not_applicable,MATH_BHK_2020,not_applicable,05_methods/01_mathematical_foundations/15_SVD.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Explicit synthetic factors only; no real-data SVD or PCA implementation.
MATH_LOWRANK_FOUNDATION,Truncated SVD low-rank approximation,linear_algebra,compression foundation,not_applicable,not_applicable,MATH_BHK_2020,not_applicable,05_methods/01_mathematical_foundations/16_LOW_RANK_APPROXIMATION.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Frobenius optimality and biological information-loss limits; no rank selection.
MATH_GD_FOUNDATION,Gradient descent scalar update,optimization,optimization foundation,not_applicable,not_applicable,MATH_CONVEX_2004,not_applicable,05_methods/01_mathematical_foundations/19_GRADIENT_DESCENT.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Two hand-verified quadratic updates; no research training.
MATH_L1_L2,L1 and L2 regularization,regularization,penalty foundation,not_applicable,not_applicable,MATH_CONVEX_2004,not_applicable,05_methods/01_mathematical_foundations/20_REGULARIZATION.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Scalar shrinkage examples; no penalty selected for datasets.
MATH_NEIGHBOR_SETS,Nearest radius and mutual-neighbor sets,geometry,neighborhood definition,not_applicable,not_applicable,MATH_VMLS_2018;MATH_BHK_2020,not_applicable,05_methods/01_mathematical_foundations/24_NEIGHBORHOODS.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Synthetic sets only; no graph or research neighbors built.
MATH_KERNEL_FOUNDATION,Linear and RBF kernels,kernel_mathematics,similarity foundation,not_applicable,not_applicable,MATH_BHK_2020;MATH_CONVEX_2004,not_applicable,05_methods/01_mathematical_foundations/25_KERNELS.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,PSD condition and bandwidth effects; no kernel family comparison.
MATH_INFORMATION,Entropy cross-entropy KL and mutual information,information_theory,distribution comparison foundation,not_applicable,not_applicable,MATH_GRAY_INFORMATION_2023;MATH_VINH_2010,not_applicable,05_methods/01_mathematical_foundations/26_INFORMATION_THEORY.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Finite toy probabilities only; no MI estimation on omics.
MATH_MASKED_LOSS,Masked reconstruction loss,missing_data,missingness foundation,not_applicable,not_applicable,MATH_SEAMAN_MISSING_2013,not_applicable,05_methods/01_mathematical_foundations/30_MISSING_DATA.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Entry and modality masks; teaching loss; missingness citation corrected during audit; no imputation.
MATH_FDR_BH,False discovery rate and BH step-up rule,statistical_testing,multiple-testing foundation,not_applicable,not_applicable,MATH_BH_1995;MATH_SHALIZI_TESTING_2019,not_applicable,05_methods/01_mathematical_foundations/31_STATISTICAL_TESTING.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Definitions and assumptions only; no biological tests.
MATH_CONFUSION_METRICS,Accuracy precision recall specificity and F1,evaluation,classification metric definition,not_applicable,not_applicable,MATH_SKLEARN_EVAL_DOC,not_applicable,05_methods/01_mathematical_foundations/32_EVALUATION_FOUNDATIONS.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Synthetic confusion table; no predictions.
MATH_ARI,Adjusted Rand Index,evaluation,partition-agreement definition,not_applicable,not_applicable,MATH_HUBERT_ARABIE_1985;MATH_SKLEARN_CLUSTER_DOC,not_applicable,05_methods/01_mathematical_foundations/33_ARI.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Pair enumeration and fixed-margin chance model; no dataset score.
MATH_NMI,Arithmetic normalized mutual information,evaluation,partition-agreement definition,not_applicable,not_applicable,MATH_VINH_2010;MATH_SKLEARN_CLUSTER_DOC,not_applicable,05_methods/01_mathematical_foundations/34_NMI.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Normalization and degenerate conventions declared; no benchmark.
MATH_SILHOUETTE,Silhouette coefficient,evaluation,geometric evaluation definition,not_applicable,not_applicable,MATH_ROUSSEEUW_1987;MATH_SKLEARN_CLUSTER_DOC,not_applicable,05_methods/01_mathematical_foundations/35_SILHOUETTE.md,foundational_notes_toy_checked,05_methods/01_mathematical_foundations/SOURCES.md,Hand-assigned toy groups only; no fitted clusters.
PCA_CLASSICAL,Principal component analysis,PCA;linear_projection,representation,RAW_FEATURE_SPACE,PCA_SCORES,REP_PCA,CB_SKLEARN,06_representations/01_classical_representation_families/04_PCA.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
SPARSE_PCA_CLASSICAL,Sparse PCA,sparse_projection,representation,RAW_FEATURE_SPACE,SPARSE_PCA_SCORES,REP_SPCA,CB_ELASTICNET,06_representations/01_classical_representation_families/05_SPARSE_PCA.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
ICA_CLASSICAL,Independent component analysis,ICA;source_separation,representation,RAW_FEATURE_SPACE,ICA_SCORES,REP_ICA,CB_FASTICA,06_representations/01_classical_representation_families/06_ICA.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
NMF_CLASSICAL,Non-negative matrix factorization,NMF;factorization,representation,RAW_FEATURE_SPACE,NMF_FACTORS,REP_NMF,CB_SKLEARN,06_representations/01_classical_representation_families/07_NMF.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
INMF_LIGER,Integrative NMF (iNMF/LIGER),iNMF;multiview_fusion,integration,RAW_FEATURE_SPACE,INMF_FACTORS,REP_LIGER,CB_LIGER,06_representations/01_classical_representation_families/08_INMF.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
FA_CLASSICAL,Classical factor analysis,factor_analysis,representation,RAW_FEATURE_SPACE,FA_FACTORS,MATH_MML_2020,CB_SKLEARN,06_representations/01_classical_representation_families/09_FACTOR_ANALYSIS.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
MOFA_MOFA2,MOFA/MOFA+,multiview_factor_model,integration,MULTIVIEW_FUSION,MOFA_FACTORS,REP_MOFA;REP_MOFA_PLUS,CB_MOFA;CB_MOFA2,06_representations/01_classical_representation_families/10_MOFA.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
CCA_CLASSICAL,Canonical correlation analysis,CCA;cross_decomposition,integration,CONCATENATED_FEATURES,CCA_SCORES,REP_CCA,CB_SKLEARN,06_representations/01_classical_representation_families/11_CCA.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
SPARSE_CCA,Sparse CCA,sparse_CCA;cross_decomposition,integration,CONCATENATED_FEATURES,SPARSE_CCA_SCORES,REP_PMD,CB_PMA,06_representations/01_classical_representation_families/12_SPARSE_CCA.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
PLS_CLASSICAL,Partial least squares,PLS;cross_decomposition,integration,CONCATENATED_FEATURES,PLS_SCORES,REP_PLS,CB_SKLEARN,06_representations/01_classical_representation_families/13_PLS.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
MNN_ALIGNMENT,Mutual nearest-neighbor alignment,MNN;alignment,integration,RAW_FEATURE_SPACE,MNN_CORRECTED,REP_MNN,CB_BATCHELOR,06_representations/01_classical_representation_families/14_MULTIVIEW_FUSION.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
HARMONY_ALIGNMENT,Harmony alignment,Harmony;alignment,integration,PCA_SCORES,HARMONY_EMBEDDING,REP_HARMONY,CB_HARMONY,06_representations/01_classical_representation_families/14_MULTIVIEW_FUSION.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
SCANORAMA_ALIGNMENT,Scanorama integration,Scanorama;alignment,integration,RAW_FEATURE_SPACE,SCANORAMA_EMBEDDING,REP_SCANORAMA,CB_SCANORAMA,06_representations/01_classical_representation_families/14_MULTIVIEW_FUSION.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
KERNEL_PCA,Kernel PCA,kernel_PCA;nonlinear_projection,representation,KERNEL_MATRIX,KPCA_COORDINATES,REP_KPCA,CB_SKLEARN,06_representations/01_classical_representation_families/19_KERNEL_PCA.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
DIFFUSION_MAP,Diffusion maps,diffusion;manifold,representation,SIMILARITY_MATRIX,DIFFUSION_COORDINATES,REP_DIFFUSION,CB_DESTINY,06_representations/01_classical_representation_families/20_DIFFUSION_REPRESENTATIONS.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
TSNE,t-SNE,nonlinear_visualization,representation,RAW_FEATURE_SPACE,TSNE_COORDINATES,REP_TSNE,CB_TSNE,06_representations/01_classical_representation_families/22_TSNE.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
UMAP,UMAP,nonlinear_visualization,representation,RAW_FEATURE_SPACE,UMAP_COORDINATES,REP_UMAP,CB_UMAP,06_representations/01_classical_representation_families/23_UMAP.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
OT_CLASSICAL,Optimal transport,transport,alignment,DISTANCE_MATRIX,OT_COUPLING,REP_OT,CB_POT,06_representations/01_classical_representation_families/26_OPTIMAL_TRANSPORT.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
SINKHORN_OT,Entropic OT/Sinkhorn,transport;regularization,alignment,DISTANCE_MATRIX,ENTROPIC_COUPLING,REP_SINKHORN,CB_POT,06_representations/01_classical_representation_families/27_ENTROPIC_OT.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
GW,Gromov-Wasserstein,transport;relational_alignment,alignment,DISTANCE_MATRIX,GW_COUPLING,REP_OT;REP_HIGHER,CB_POT,06_representations/01_classical_representation_families/28_GROMOV_WASSERSTEIN.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
GSVA,Gene-set variation analysis,pathway_prior,biological_prior,RAW_FEATURE_SPACE,PATHWAY_SCORES,REP_GSVA,CB_GSVA,06_representations/01_classical_representation_families/42_PATHWAY_REPRESENTATIONS.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
SCENIC,SCENIC regulon activity,regulatory_prior,biological_prior,RAW_FEATURE_SPACE,REGULON_ACTIVITY,REP_SCENIC,CB_SCENIC,06_representations/01_classical_representation_families/43_REGULATORY_ACTIVITY.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
CHROMVAR,chromVAR motif deviations,regulatory_prior,biological_prior,RAW_FEATURE_SPACE,MOTIF_ACTIVITY,REP_CHROMVAR,CB_CHROMVAR,06_representations/01_classical_representation_families/43_REGULATORY_ACTIVITY.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
PSEUDOTIME_CONCEPT,Pseudotemporal ordering (concept),trajectory,representation,RAW_FEATURE_SPACE,PSEUDOTIME,REP_PSEUDOTIME,CB_MONOCLE,06_representations/01_classical_representation_families/44_DEVELOPMENTAL_TIME.md,studied_not_fitted,Phase 2B topic note and SOURCES.md,"Conceptual review only; no project data transformed, fitted or benchmarked."
