method_id,method_name,method_family,A1,A1_reason,D1,D1_reason,E11,E11_reason,E13,E13_reason,E15,E15_reason,E18,E18_reason,rna_support,adt_support,atac_support,spatial_support,paired_required,shared_features_required,raw_counts_required,labels_required,graph_required,image_required,official_code,compatibility_notes,across_mouse_stages,across_stage_reason,source_ids
DIFFUSION_MAP,Diffusion maps,diffusion,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,PARTIALLY_COMPATIBLE,"ATAC unavailable locally. RNA-only representation is possible, but this is not the proposed full multimodal setting.",YES,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,YES,within each view across pooled samples; RNA and other-view columns need not match,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,YES,NO for selected tabular variant,https://bioconductor.org/packages/release/bioc/html/destiny.html,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,REP_DIFFUSION
WNN_INTEGRATION,WNN,weighted neighbors,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,MODALITY_MISSING,ATAC unavailable locally. Full paired multimodal candidate cannot be evaluated on E18.,YES,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,YES,within each view across pooled samples; RNA and other-view columns need not match,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,YES,NO for selected tabular variant,https://github.com/satijalab/seurat,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,WNN_2021;DOC_WNN
SCOT_ALIGNMENT,SCOT,Gromov-Wasserstein transport,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,MODALITY_MISSING,ATAC unavailable locally. Full paired multimodal candidate cannot be evaluated on E18.,YES,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,NO; unpaired alignment,no shared columns; geometry comparability assumption,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,YES,NO for selected tabular variant,https://github.com/rsinghlab/SCOT,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",PARTIALLY_COMPATIBLE,SCOT compares within-domain geometry without shared columns; developmental population changes remain confounded.,SCOT_2022
TOTALVI_NEURAL,totalVI,generative,UNKNOWN,Modalities present but count provenance is not verified; integer-looking X alone cannot validate likelihood input. Preprocessing follows provenance resolution.,UNKNOWN,Modalities present but count provenance is not verified; integer-looking X alone cannot validate likelihood input. Preprocessing follows provenance resolution.,REQUIRES_UNAVAILABLE_INPUT,No ADT measured locally; totalVI RNA-ADT model cannot reinterpret peaks as antibodies.,REQUIRES_UNAVAILABLE_INPUT,No ADT measured locally; totalVI RNA-ADT model cannot reinterpret peaks as antibodies.,REQUIRES_UNAVAILABLE_INPUT,No ADT measured locally; totalVI RNA-ADT model cannot reinterpret peaks as antibodies.,REQUIRES_UNAVAILABLE_INPUT,No ADT measured locally; totalVI RNA-ADT model cannot reinterpret peaks as antibodies.,YES,YES_OR_GENERAL_NUMERIC_VIEW,NO,NOT_NATIVE,YES,within each view across pooled samples; RNA and other-view columns need not match,YES_OR_LIKELIHOOD_SPECIFIC; provenance unresolved,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/scverse/scvi-tools,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",NOT_APPLICABLE,No across-stage coordinate alignment or ADT availability implied.,TOTALVI_2021;DOC_TOTALVI
MULTIVI_NEURAL,MultiVI,generative,REQUIRES_UNAVAILABLE_INPUT,"Selected RNA-ATAC contract needs ATAC, absent in lymph-node files; a software protein extension would be a separate documented variant.",REQUIRES_UNAVAILABLE_INPUT,"Selected RNA-ATAC contract needs ATAC, absent in lymph-node files; a software protein extension would be a separate documented variant.",UNKNOWN,Modalities present but count provenance is not verified; integer-looking X alone cannot validate likelihood input. Preprocessing follows provenance resolution.,UNKNOWN,Modalities present but count provenance is not verified; integer-looking X alone cannot validate likelihood input. Preprocessing follows provenance resolution.,UNKNOWN,Modalities present but count provenance is not verified; integer-looking X alone cannot validate likelihood input. Preprocessing follows provenance resolution.,PARTIALLY_COMPATIBLE,ATAC unavailable locally. RNA-only query/missing-view mode requires a trained supported reference and masks; no observed ATAC evaluation.,YES,NO,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,MASKS_OR_VARIANT_SPECIFIC,within each view across pooled samples; RNA and other-view columns need not match,YES_OR_LIKELIHOOD_SPECIFIC; provenance unresolved,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/scverse/scvi-tools,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,MULTIVI_2023;DOC_MULTIVI
COBOLT_NEURAL,Cobolt,generative,REQUIRES_UNAVAILABLE_INPUT,"Selected RNA-ATAC contract needs ATAC, absent in lymph-node files; a software protein extension would be a separate documented variant.",REQUIRES_UNAVAILABLE_INPUT,"Selected RNA-ATAC contract needs ATAC, absent in lymph-node files; a software protein extension would be a separate documented variant.",UNKNOWN,Modalities present but count provenance is not verified; integer-looking X alone cannot validate likelihood input. Preprocessing follows provenance resolution.,UNKNOWN,Modalities present but count provenance is not verified; integer-looking X alone cannot validate likelihood input. Preprocessing follows provenance resolution.,UNKNOWN,Modalities present but count provenance is not verified; integer-looking X alone cannot validate likelihood input. Preprocessing follows provenance resolution.,MODALITY_MISSING,ATAC unavailable locally. Full paired multimodal candidate cannot be evaluated on E18.,YES,NO,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,MASKS_OR_VARIANT_SPECIFIC,within each view across pooled samples; RNA and other-view columns need not match,YES_OR_LIKELIHOOD_SPECIFIC; provenance unresolved,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/epurdom/cobolt,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,COBOLT_2021
MIDAS_NEURAL,MIDAS,generative mosaic,UNKNOWN,Modalities present but count provenance is not verified; integer-looking X alone cannot validate likelihood input. Preprocessing follows provenance resolution.,UNKNOWN,Modalities present but count provenance is not verified; integer-looking X alone cannot validate likelihood input. Preprocessing follows provenance resolution.,UNKNOWN,Modalities present but count provenance is not verified; integer-looking X alone cannot validate likelihood input. Preprocessing follows provenance resolution.,UNKNOWN,Modalities present but count provenance is not verified; integer-looking X alone cannot validate likelihood input. Preprocessing follows provenance resolution.,UNKNOWN,Modalities present but count provenance is not verified; integer-looking X alone cannot validate likelihood input. Preprocessing follows provenance resolution.,PARTIALLY_COMPATIBLE,ATAC unavailable locally. RNA-only query/missing-view mode requires a trained supported reference and masks; no observed ATAC evaluation.,YES,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,MASKS_OR_VARIANT_SPECIFIC,within each view across pooled samples; RNA and other-view columns need not match,YES_OR_LIKELIHOOD_SPECIFIC; provenance unresolved,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/labomics/midas,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,MIDAS_2024
SCGLUE_NEURAL,scGLUE,guidance graph generative,REQUIRES_UNAVAILABLE_INPUT,"Verified feature guidance mapping unavailable; ADT is version-specific extension, not original RNA-ATAC contract.",REQUIRES_UNAVAILABLE_INPUT,"Verified feature guidance mapping unavailable; ADT is version-specific extension, not original RNA-ATAC contract.",REQUIRES_UNAVAILABLE_INPUT,Verified feature guidance mapping unavailable; genome build/gene coordinates and justified peak-gene guidance not established.,REQUIRES_UNAVAILABLE_INPUT,Verified feature guidance mapping unavailable; genome build/gene coordinates and justified peak-gene guidance not established.,REQUIRES_UNAVAILABLE_INPUT,Verified feature guidance mapping unavailable; genome build/gene coordinates and justified peak-gene guidance not established.,MODALITY_MISSING,ATAC unavailable locally. Full paired multimodal candidate cannot be evaluated on E18.,YES,VERSION_SPECIFIC,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,MASKS_OR_VARIANT_SPECIFIC,no cross-view identity; guidance mapping required,YES_OR_LIKELIHOOD_SPECIFIC; provenance unresolved,NO for fit; annotation-informed K is a separately declared evaluation track,YES,NO for selected tabular variant,https://github.com/gao-lab/GLUE,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,SCGLUE_2022;DOC_GLUE;DOC_GLUE_RELEASE
SPATIALGLUE_NEURAL,SpatialGlue,spatial graph attention,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,MODALITY_MISSING,ATAC unavailable locally. Full paired multimodal candidate cannot be evaluated on E18.,YES,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,REQUIRED,YES,within each view across pooled samples; RNA and other-view columns need not match,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,YES,NO for selected tabular variant,https://github.com/JinmiaoChenLab/SpatialGlue,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,LONG_SPATIALGLUE_2024;DOC_SPATIALGLUE_LN
SPAMI_NEURAL,SpaMI,spatial graph contrastive,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,MODALITY_MISSING,ATAC unavailable locally. Full paired multimodal candidate cannot be evaluated on E18.,YES,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,REQUIRED,YES,within each view across pooled samples; RNA and other-view columns need not match,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,YES,NO for selected tabular variant,https://github.com/Gaocongqiang/SpaMI,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,SPAMI_2025
GARFIELD_NEURAL,Garfield,graph contrastive generative,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,MODALITY_MISSING,ATAC unavailable locally. Full paired multimodal candidate cannot be evaluated on E18.,YES,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,REQUIRED,YES,within each view across pooled samples; RNA and other-view columns need not match,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,YES,NO for selected tabular variant,https://github.com/zhou-1314/Garfield,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,GARFIELD_2026
