method,method_id,input,preprocessing,initial_representation,structural_representation,model,objective,latent_output,clustering_backend,cluster_number_requirement,postprocessing,latent_dimension,sensitive_parameters,source_ids,verification
Diffusion maps,DIFFUSION_MAP,one view or valid concatenation,transform/scale; density normalization declared,affinity matrix,Markov transition,diffusion eigenvectors,diffusion geometry; not a fitted biology likelihood,n x d,external; common backend proposed,backend-dependent,none,d and diffusion time planned,bandwidth; density exponent; time,REP_DIFFUSION,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
WNN,WNN_INTEGRATION,paired RNA+ADT or RNA+ATAC,RNA PCA; ADT normalized PCA or ATAC TF-IDF/LSI per tutorial; exact transform variant recorded,per-view reductions,weighted nearest-neighbor graph,local modality weighting,neighbor prediction utility,joint neighbor relation; not inherently one Z,Seurat graph clustering; algorithm must be specified,resolution unless label-informed matching,UMAP display only,per-view dimension planned,neighbors; modality weights; LSI dimensions,WNN_2021;DOC_WNN,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
SCOT,SCOT_ALIGNMENT,two omics matrices; true pair IDs withheld from fit in alignment track,normalize per domain; reduce dimensions only in documented variant,within-domain distances,kNN geodesic geometry; transport coupling,entropic Gromov-Wasserstein,preserve relational geometry across domains,coupling nA x nB; barycentric projection optional,not native clustering task,not required for alignment,projection direction explicit,no obligatory shared latent dimension,neighbor k; entropy; balanced versus unbalanced version,SCOT_2022,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
totalVI,TOTALVI_NEURAL,RNA counts + ADT counts; same observations,count provenance first; RNA feature selection; preserve count layer; no log input substitution,count encoder inputs,none,RNA/ADT variational model,ELBO with RNA count and protein mixture likelihoods,posterior latent mean n x d,external; exact paper backend not extracted,backend-dependent,decoded estimates distinct from counts,API latent dimension; project value not chosen,feature set; latent width; priors; epochs,TOTALVI_2021;DOC_TOTALVI,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
MultiVI,MULTIVI_NEURAL,RNA counts; ATAC binary; pairing/missing masks,count provenance; feature selection; shared per-modality schema across groups,modality encoder inputs,none,multimodal variational model,ELBO and alignment terms,joint posterior n x d; modality encodings version-dependent,external; exact paper backend not extracted,backend-dependent,missing-view predictions not measurements,API latent dimension; not selected,schema; modality weight; missing pattern,MULTIVI_2023;DOC_MULTIVI,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
Cobolt,COBOLT_NEURAL,RNA/ATAC count matrices and modality/sample masks,count provenance; feature filter; preserve per-modality vocabulary,count matrices,none,multimodal latent model,count likelihood variational inference,joint embedding n x d,external; exact paper backend not extracted,backend-dependent,none assumed,latent dimension not selected,anchors; feature filters; latent size,COBOLT_2021,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
MIDAS,MIDAS_NEURAL,mosaic RNA/ADT/ATAC; batch metadata and masks,paper branch versus modern MuData contract; verify counts and per-modality feature schema,per-modality matrices,mosaic design and batch covariates,disentangled generative model,variational learning with modality/batch objectives,biological and technical latent outputs,external; paper backend not extracted,backend-dependent,imputed values labelled model-derived,paper configuration not extracted,latent partitions; batch definition; loss weights,MIDAS_2024,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
scGLUE,SCGLUE_NEURAL,RNA+ATAC with feature guidance; ADT only verified current extension,gene/peak metadata and build; RNA PCA/ATAC LSI for encoder; counts for relevant likelihood,per-domain matrices and encoder reductions,signed weighted feature guidance graph,graph-linked variational embeddings,data and graph likelihood plus alignment,observation Z and feature embeddings,external; paper backend not extracted,backend-dependent,regulatory links inferred not causal,latent dimension not selected,guidance construction; alignment weight; feature domain schema,SCGLUE_2022;DOC_GLUE;DOC_GLUE_RELEASE,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
SpatialGlue,SPATIALGLUE_NEURAL,paired omics AnnData and S,LN tutorial: RNA HVG3000 before normalization/log/scale; ADT CLR/scale; PCA to T-1; brain tutorial separately needed,per-view PCA/LSI depending assay implementation,spatial and feature neighbor graphs,dual-attention graph integration,reconstruction and cross-view objectives,joint Z and per-view latents,mclust default; Leiden/Louvain options in tutorial,LN tutorial K=6; do not inherit as project K,LN tutorial clustering use_pca=True; retain this as separate C-stage step,LN input T-1=30 for our 31 ADTs; model latent width not extracted,graphs; loss weights; backend PCA; K,LONG_SPATIALGLUE_2024;DOC_SPATIALGLUE_LN,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
SpaMI,SPAMI_NEURAL,paired omics and coordinates,assay preprocessing; exact normalization/filter/rank defaults not extracted; require tutorial audit before run,per-view reduced features; exact ranks unknown,spatial neighborhood topology,graph contrastive integration,corrupted-view information and reconstruction/cross-view terms,joint Z,UNKNOWN; inspect selected tutorial,UNKNOWN until backend chosen,UNKNOWN; no smoothing assumed,UNKNOWN; blocker for native reproduction spec,graph k; corruption; loss balance,SPAMI_2025,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
Garfield,GARFIELD_NEURAL,RNA with ADT/ATAC; pairing metadata; S for spatial mode,RNA normalization/log/HVG; ADT CLR; ATAC TF-IDF/LSI; choose documented spatial configuration,PCA/LSI attributes,molecular/spatial/cross-modality relations,graph variational contrastive encoder,feature/edge reconstruction and contrastive objectives,joint Z; mode-specific outputs,Leiden in reported integration evaluation,reported K matched to annotation count,no extra smoothing assumed,configuration-specific; not selected,edge mixtures; dropout; latent width; batch sampling,GARFIELD_2026,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
SCIGMA,SCIGMA_NEURAL,paired omics+S; tabular tutorials available,official preprocessing(data_type); exact internal normalization/rank requires data.py inspection,assay-specific features,spatial and feature graphs,uncertainty-aware multi-view graph model,within/across-view contrast and reconstruction,joint and per-view Z; tau outputs,mclust; Leiden/Louvain optional,tutorial RNA-ATAC K17; SPOTS K6; not our K,ATAC tutorial use_pca=False; ADT tutorial key mismatch requires check,ATAC tutorial40; SPOTS20; neither frozen for project,graph k; temperature/weights; dim_output; batch size,SCIGMA_2026;DOC_SCIGMA_RNA_ATAC;DOC_SCIGMA_RNA_ADT,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
ARISE,ARISE_NEURAL,paired RNA+ADT/ATAC AnnData; S,paper assay processing; exact per-dataset filter/PCA settings not extracted,RNA and auxiliary features,intersection of RNA feature and spatial edges,shared-edge GCN with hierarchical fusion,reconstruction and spatially structured learning,joint Z,UNKNOWN; source script endpoint failed,UNKNOWN until native script checked,UNKNOWN; do not assume smooth-label refinement,UNKNOWN; native configuration unresolved,RNA anchoring; graph k; fusion weights,ARISE_2026,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
SMART,SMART_NEURAL,paired omics matrices and S,PCA per view; assay normalization from selected reproduction branch required,per-view PCA,spatial KNN and molecular triplets,GraphSAGE and metric learning,reconstruction plus triplet learning,joint Z; multi-section variant distinct,UNKNOWN; source figure settings K known but backend unextracted,A1 paper K7 and sweep5..10; not our policy,SMART-MS Harmony distinct from single-section model,UNKNOWN; native config needed,neighbors; triplet mining; section correction,SMART_2026,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
PASTE,PASTE_ALIGNMENT,two related tissue sections: expression and coordinates,common genes; expression cost; audit section relationship,section feature and distance matrices,fused transport coupling,fused Gromov-Wasserstein alignment,expression and spatial geometry cost,coupling and aligned coordinates,not a domain-clustering model,not required,coordinate transformation is inferred alignment,not applicable,geometry-expression weight; section coverage,ZEIRA_NATMETHODS_2022,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
